,storm_speed,srh,srh_left,srh_right,bulk_shear,tornado,ef_rating,cape,cin
449,16.7,,,,8.837320296364398,0,,3348.537822294408,-0.07178652536761172
450,13.7,,,,9.730495700402772,0,,3070.1895802148474,-28.725168582735712
451,15.3,,,,13.487588189545821,0,,0.0,0.0
452,15.3,,,,4.601086828130936,0,,0.0,0.0
453,15.3,,,,13.926915434571805,0,,3356.834254338449,-64.83198617020265
454,17.9,,,,17.23713803648023,0,,1927.6983022394138,-62.68810257992821
455,23.5,0.01880000000000006,,,17.19767426136453,1,1.0,3421.179217247703,-39.162530930158155
456,23.5,,,,19.975916083211462,1,1.0,2706.441007026098,-43.39967029766267
457,24.1,,,,15.501437228397192,1,1.0,3622.605537716711,-47.33109075278635
458,26.3,,,,9.083743478566172,0,,428.36844108597984,-26.91421131244382
459,20.4,,,,11.628705811918053,0,,0.0,0.0
460,21.8,-0.0032999999999999974,,,8.927485648266257,0,,2558.9251598480546,-8.44303508609956
461,16.0,,,,7.746777170897438,0,,1082.045269719346,-11.043034465740186
462,7.7,0.0011000000000000298,,,9.884331034521255,0,,1277.3394714063202,-40.61346079385975
463,7.7,-0.006500000000000008,,,8.43732482115945,0,,0.0,0.0
464,7.7,,,,10.221575034898015,0,,1327.5248041946813,-26.279988331951
465,6.3,,,,9.459945190096832,1,0.0,2150.672801904505,0.0
466,9.4,,,,9.462986444219501,0,,899.510702857155,-58.048195903618286
467,9.4,,,,6.666522612225659,0,,1925.1534654845698,0.0
468,6.4,,,,8.402864580696876,0,,268.5177178251071,-180.6067173971409
469,10.7,,,,8.11874195711298,0,,-2.0581318752495523,-356.40329881648086
470,11.2,,,,7.655840469522642,1,1.0,2011.7455419641183,-31.928171955116305
471,11.2,-0.005900000000000009,,,6.8541957952775165,1,1.0,1280.9815267538363,-41.30662170864206
472,11.3,0.009499999999999982,,,12.110326172320876,0,,1520.7064352835807,-33.69617537999492
473,12.9,,,,7.669987120777603,1,1.0,1625.098767820155,-33.278935291993555
474,12.4,,,,7.174216912337034,0,,1824.1455310426613,-37.64737640095725
475,5.0,,,,8.088622160370479,0,,1048.2178766390266,-11.255010341226251
476,5.0,0.010299999999999986,,,11.346365056704283,0,,1415.0247865866008,0.0
477,4.7,,,,13.646206769687586,0,,1873.7715819997225,0.0
478,4.8,,,,10.947387119415328,0,,759.2174382966546,-138.12287429274448
479,4.8,,,,18.294898157564322,0,,942.374069574089,-194.04289956277057
480,5.3,,,,5.8597210442236145,0,,1267.0251624934751,-15.065457146168592
481,5.5,,,,9.701247459632695,0,,1516.6114481125853,0.0
482,4.4,,,,8.605230967266364,0,,1156.9244867347766,-79.44709736413225
483,4.4,0.01370000000000001,,,12.124768039018313,0,,1460.5312179226905,-10.580901906313848
484,4.4,,,,9.501474755659624,0,,1356.937737696221,-45.75839679160455
485,6.2,,,,13.134152256695522,0,,1369.1013560231424,-57.565306628597945
486,6.0,,,,9.96443676280802,0,,2.0151627476518463,-103.98831519005554
